  N0H0W0C0   N0H0W0C1   N0H0W0C2   N0H0W0C3
  N0H0W1C0   N0H0W1C1   N0H0W1C2   N0H0W1C3
  N0H0W2C0   N0H0W2C1   N0H0W2C2   N0H0W2C3
  N0H0W3C0   N0H0W3C1   N0H0W3C2   N0H0W3C3
  N0H0W4C0   N0H0W4C1   N0H0W4C2   N0H0W4C3
  N0H0W5C0   N0H0W5C1   N0H0W5C2   N0H0W5C3
  N0H0W6C0   N0H0W6C1   N0H0W6C2   N0H0W6C3
  N0H0W7C0   N0H0W7C1   N0H0W7C2   N0H0W7C3
  N0H0W8C0   N0H0W8C1   N0H0W8C2   N0H0W8C3
  N0H0W9C0   N0H0W9C1   N0H0W9C2   N0H0W9C3
 N0H0W10C0  N0H0W10C1  N0H0W10C2  N0H0W10C3
 N0H0W11C0  N0H0W11C1  N0H0W11C2  N0H0W11C3
 N0H0W12C0  N0H0W12C1  N0H0W12C2  N0H0W12C3
 N0H0W13C0  N0H0W13C1  N0H0W13C2  N0H0W13C3
 N0H0W14C0  N0H0W14C1  N0H0W14C2  N0H0W14C3
 N0H0W15C0  N0H0W15C1  N0H0W15C2  N0H0W15C3
 N0H0W16C0  N0H0W16C1  N0H0W16C2  N0H0W16C3
 N0H0W17C0  N0H0W17C1  N0H0W17C2  N0H0W17C3
 N0H0W18C0  N0H0W18C1  N0H0W18C2  N0H0W18C3
 N0H0W19C0  N0H0W19C1  N0H0W19C2  N0H0W19C3
 N0H0W20C0  N0H0W20C1  N0H0W20C2  N0H0W20C3
 N0H0W21C0  N0H0W21C1  N0H0W21C2  N0H0W21C3
 N0H0W22C0  N0H0W22C1  N0H0W22C2  N0H0W22C3
 N0H0W23C0  N0H0W23C1  N0H0W23C2  N0H0W23C3
 N0H0W24C0  N0H0W24C1  N0H0W24C2  N0H0W24C3
 N0H0W25C0  N0H0W25C1  N0H0W25C2  N0H0W25C3
 N0H0W26C0  N0H0W26C1  N0H0W26C2  N0H0W26C3
 N0H0W27C0  N0H0W27C1  N0H0W27C2  N0H0W27C3
 N0H0W28C0  N0H0W28C1  N0H0W28C2  N0H0W28C3
 N0H0W29C0  N0H0W29C1  N0H0W29C2  N0H0W29C3
 N0H0W30C0  N0H0W30C1  N0H0W30C2  N0H0W30C3
 N0H0W31C0  N0H0W31C1  N0H0W31C2  N0H0W31C3
  N0H1W0C0   N0H1W0C1   N0H1W0C2   N0H1W0C3
  N0H1W1C0   N0H1W1C1   N0H1W1C2   N0H1W1C3
  N0H1W2C0   N0H1W2C1   N0H1W2C2   N0H1W2C3
  N0H1W3C0   N0H1W3C1   N0H1W3C2   N0H1W3C3
  N0H1W4C0   N0H1W4C1   N0H1W4C2   N0H1W4C3
  N0H1W5C0   N0H1W5C1   N0H1W5C2   N0H1W5C3
  N0H1W6C0   N0H1W6C1   N0H1W6C2   N0H1W6C3
  N0H1W7C0   N0H1W7C1   N0H1W7C2   N0H1W7C3
  N0H1W8C0   N0H1W8C1   N0H1W8C2   N0H1W8C3
  N0H1W9C0   N0H1W9C1   N0H1W9C2   N0H1W9C3
 N0H1W10C0  N0H1W10C1  N0H1W10C2  N0H1W10C3
 N0H1W11C0  N0H1W11C1  N0H1W11C2  N0H1W11C3
 N0H1W12C0  N0H1W12C1  N0H1W12C2  N0H1W12C3
 N0H1W13C0  N0H1W13C1  N0H1W13C2  N0H1W13C3
 N0H1W14C0  N0H1W14C1  N0H1W14C2  N0H1W14C3
 N0H1W15C0  N0H1W15C1  N0H1W15C2  N0H1W15C3
 N0H1W16C0  N0H1W16C1  N0H1W16C2  N0H1W16C3
 N0H1W17C0  N0H1W17C1  N0H1W17C2  N0H1W17C3
 N0H1W18C0  N0H1W18C1  N0H1W18C2  N0H1W18C3
 N0H1W19C0  N0H1W19C1  N0H1W19C2  N0H1W19C3
 N0H1W20C0  N0H1W20C1  N0H1W20C2  N0H1W20C3
 N0H1W21C0  N0H1W21C1  N0H1W21C2  N0H1W21C3
 N0H1W22C0  N0H1W22C1  N0H1W22C2  N0H1W22C3
 N0H1W23C0  N0H1W23C1  N0H1W23C2  N0H1W23C3
 N0H1W24C0  N0H1W24C1  N0H1W24C2  N0H1W24C3
 N0H1W25C0  N0H1W25C1  N0H1W25C2  N0H1W25C3
 N0H1W26C0  N0H1W26C1  N0H1W26C2  N0H1W26C3
 N0H1W27C0  N0H1W27C1  N0H1W27C2  N0H1W27C3
 N0H1W28C0  N0H1W28C1  N0H1W28C2  N0H1W28C3
 N0H1W29C0  N0H1W29C1  N0H1W29C2  N0H1W29C3
 N0H1W30C0  N0H1W30C1  N0H1W30C2  N0H1W30C3
 N0H1W31C0  N0H1W31C1  N0H1W31C2  N0H1W31C3
  N0H2W0C0   N0H2W0C1   N0H2W0C2   N0H2W0C3
  N0H2W1C0   N0H2W1C1   N0H2W1C2   N0H2W1C3
  N0H2W2C0   N0H2W2C1   N0H2W2C2   N0H2W2C3
  N0H2W3C0   N0H2W3C1   N0H2W3C2   N0H2W3C3
  N0H2W4C0   N0H2W4C1   N0H2W4C2   N0H2W4C3
  N0H2W5C0   N0H2W5C1   N0H2W5C2   N0H2W5C3
  N0H2W6C0   N0H2W6C1   N0H2W6C2   N0H2W6C3
  N0H2W7C0   N0H2W7C1   N0H2W7C2   N0H2W7C3
  N0H2W8C0   N0H2W8C1   N0H2W8C2   N0H2W8C3
  N0H2W9C0   N0H2W9C1   N0H2W9C2   N0H2W9C3
 N0H2W10C0  N0H2W10C1  N0H2W10C2  N0H2W10C3
 N0H2W11C0  N0H2W11C1  N0H2W11C2  N0H2W11C3
 N0H2W12C0  N0H2W12C1  N0H2W12C2  N0H2W12C3
